phone,phone_err_rate,near_phones,error_phones
AA,0.3333,[],['OW']
AW,0.5714,"['AE', 'AH']","['EH', 'OW']"
DH,0.4286,[],"['K', 'SH', 'SH', 'D', 'AY', 'W', 'HH', 'AH', 'AO']"
Y,0.6667,"['G', 'G', 'F', 'F']",[]
HH,0.4167,[],"['G', 'AH', 'B', 'K', 'F']"
CH,0.25,[],"['D', 'EY', 'D']"
EH,0.1429,[],"['IH', 'AO', 'UH']"
NG,0.3636,[],"['N', 'AH', 'CH', 'OW']"
TH,0.5556,[],"['Y', 'Y', 'R', 'R', 'F']"
IY,0.5152,['IH'],"['AH', 'AH', 'AH', 'UH', 'AA', 'AH', 'AH', 'AH', 'AH', 'AO', 'EH', 'AH', 'L', 'P', 'L', 'AA']"
B,0.25,"['W', 'D']",['AY']
AE,0.6154,"['AA', 'AH', 'AY', 'AH', 'AW', 'AH']","['IH', 'IH', 'UH', 'IH', 'UW', 'EH', 'IY', 'OW', 'IH', 'L']"
D,0.2368,"['T', 'T', 'T', 'L', 'N', 'L', 'T']","['DH', 'AY']"
G,1.3333,"['F', 'F']","['UH', 'IY']"
F,0.4762,"['W', 'B', 'M', 'M', 'B', 'K', 'G']","['IH', 'HH', 'HH']"
AH,0.3784,"['AE', 'AY', 'AE', 'AY', 'AE', 'AE', 'AE', 'AY']","['EH', 'IH', 'F', 'F', 'N', 'HH']"
K,0.35,"['P', 'P', 'R', 'L', 'T', 'N', 'F']",[]
M,0.32,"['N', 'K', 'F', 'T', 'N']","['DH', 'HH', 'HH']"
L,0.36,"['Y', 'V', 'N', 'D', 'K', 'N', 'W']","['UW', 'UH']"
AO,0.5385,"['AH', 'AH', 'AH', 'AE', 'AH', 'AH']","['T', 'OW', 'EH', 'OW', 'ER', 'R', 'EY', 'L']"
N,0.3393,"['D', 'D', 'L', 'M', 'M', 'M', 'L', 'W', 'L', 'P', 'M', 'M', 'R']","['IH', 'AH', 'IH', 'TH', 'OW', 'IY']"
IH,0.3922,"['IY', 'IY', 'IY', 'IY', 'IY']","['D', 'AO', 'AH', 'DH', 'AH', 'EH', 'P', 'OW', 'R', 'AE', 'N', 'V', 'UH', 'JH', 'N']"
S,0.375,"['F', 'F', 'F', 'K', 'N', 'D', 'W', 'F', 'R']","['TH', 'TH', 'HH', 'AE', 'UW', 'SH']"
R,0.4074,"['D', 'L', 'L', 'Y', 'D', 'F', 'G']","['ER', 'AY', 'IH', 'UW']"
EY,0.25,['ER'],['AH']
T,0.3425,"['D', 'N', 'D', 'L', 'N', 'N', 'F', 'V', 'N', 'K', 'D', 'V', 'R', 'D', 'N', 'P', 'R', 'N', 'D', 'N', 'W', 'L', 'N']","['TH', 'AH']"
W,0.25,"['D', 'F', 'T', 'M', 'Y']","['DH', 'IY', 'AH']"
V,0.4375,"['P', 'G', 'L', 'K', 'D', 'F', 'N']",[]
AY,0.359,"['AH', 'AW', 'AH', 'AH']","['EY', 'EH', 'EH', 'EH', 'IH', 'UH', 'F', 'D', 'L', 'IH']"
Z,0.2222,['S'],['CH']
ER,0.5556,['EH'],"['M', 'L', 'M', 'L']"
P,0.4286,['K'],"['AE', 'DH']"
UW,0.7778,[],"['AH', 'AH', 'IH', 'EH', 'G', 'AH', 'AH', 'AH', 'G', 'EH', 'IH', 'AH', 'AE', 'AE']"
SH,1.0,[],"['S', 'S', 'DH']"
UH,0.3333,[],"['N', 'EH', 'IH', 'W']"
OW,0.3333,[],"['AE', 'AE', 'AY', 'IY', 'AO']"
